
************************************************************************************************************************************************
Start to print log. Process ID[4292]
Time                    | L | Thread       | Module  | Source File:Line:Function                                          | Content
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:245:CSubVideoLocalFlowCtrl                       | wAscendLostRate[1] wDescendLostRate[3] wAscendDelay[100] wDescendDelay[300] wAscendRate[10] wDescendRate[10]
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:247:CSubVideoLocalFlowCtrl                       | w1stDescendRate[200] w10AscendRate[180] w5DescendRate[140]
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:249:CSubVideoLocalFlowCtrl                       | wGop[120] wFecI[15] wFecP[15] wFecSP[15] wQP[35]
2016/05/04 11:00:14.827 | E | Thread:6456  | CAVGVid | avgvideologic.cpp:102:CAVGVideoLogic::CAVGVideoLogic               | CAVGVideoLogic::CAVGVideoLogic
2016/05/04 11:00:14.827 | E | Thread:6456  | CAVGVid | avgvideologic.cpp:143:CAVGVideoLogic::Create                       | CAVGVideoLogic::Create. pMediaEngine = 0090D4C8, pSessionProxy = 0CDCCFA8, pSink = 0CDC1AD0.
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:1033:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl::initParam:
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:1035:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl wDefaultRate[200] wHighRate[320] wLowRate[150] wAdjustPeriod[6]
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:1039:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl wAscendLostRate[150] wDescendLostRate[400] wAscendDelay[100] wDescendDelay[250] wAscendRate[10] wDescendRate[10]
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:1041:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl w1stDescendRate[300] w10AscendRate[180] w5DescendRate[140 wUdtUpLoss[20] wUdtDownLoss[100]]
2016/05/04 11:00:14.827 | E | Thread:6456  | LocalFl | localflowctrl.cpp:1043:CVideoLocalFlowCtrl::CVideoLocalFlowCtrl    | CVideoLocalFlowCtrl wGop[30] wFecI[15] wFecP[15] wFecSP[15] wQP[40]
2016/05/04 11:00:14.827 | E | Thread:6456  | AVGSDK  | avgaudiologic.cpp:285:CAVGAudioLogic::CAVGAudioLogic               | CAVGAudioLogic::CAVGAudioLogic
2016/05/04 11:00:14.827 | E | Thread:6456  | AVGSDK  | avgaudiologic.cpp:307:CAVGAudioLogic::Create                       | CAVGAudioLogic::Create. pMediaEngine = 0090D4C8, pSessionProxy = 0CDCCFA8, pSink = 0090F7D8
2016/05/04 11:00:14.827 | E | Thread:6456  | Client  | av_context_impl.cpp:1001:tencent::av::AVContextImpl::InitDevice    | InitDevice
2016/05/04 11:00:14.827 | E | Thread:6456  | Client  | av_device_mgr_impl.cpp:213:AVAudioDeviceMgrImpl                    | AVAudioDeviceMgrImpl::AVAudioDeviceMgrImpl
2016/05/04 11:00:14.827 | E | Thread:6456  | Client  | av_device_mgr_impl.cpp:232:AVAudioDeviceMgrImpl                    | THREAD. AVAudioDeviceMgrImpl task start. thread id = 0.
2016/05/04 11:00:14.889 | E | Thread:6456  | Client  | av_device_mgr_impl.cpp:1464:AVVideoDeviceMgrImpl                   | AVVideoDeviceMgrImpl::AVVideoDeviceMgrImpl
2016/05/04 11:00:14.889 | E | Thread:6456  | Client  | av_device_mgr_impl.cpp:272:tencent::av::AVAudioDeviceMgrImpl::Init | Init. init_callback == 0CDC4DF8, is_inited_ = 0
2016/05/04 11:00:14.998 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] OS Version: [Microsoft Windows 7 Service Pack 1][10060101]
2016/05/04 11:00:14.998 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TRAE Version: [1.6.9000.1]
2016/05/04 11:00:14.998 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TRAE: InitEngine() [0x0cdc40a0]
2016/05/04 11:00:15.014 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [Info] linkparsers start
2016/05/04 11:00:15.014 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [NetSrc[0](0) ==> dmx[1](0), type=[CAT_MUX : TYPE_QT : [] ]]
2016/05/04 11:00:15.014 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [tee[3](0) ==> WinWasapiRender[4](0), type=[CAT_AUDIO : TYPE_PCM : [sr=44100, ch=2, b=16] ]]
2016/05/04 11:00:15.014 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [mix[2](0) ==> tee[3](0), type=[CAT_AUDIO : TYPE_PCM : [sr=44100, ch=2, b=16] ]]
